1,Gli pneumatici con lesioni sui fianchi che interessano le tele:,
,1. debbono essere ricostruiti,
,2. costituiscono pericolo solo se utilizzati ad alta pressione,
,3. si devono sostituire,x
2,Gli pneumatici con lesioni sui fianchi che interessano le tele:,
,1. debbono essere ricostruiti,
,2. possono aver subito un urto contro uno spigolo vivo,x
,3. possono essere usati a bassa velocità,
3,Viaggiando con pneumatici dello stesso asse gonfiati a pressioni diverse:,
,"1. il veicolo ""tira"" dalla parte dello pneumatico a minor pressione",x
,"2. il veicolo ""tira"" dalla parte dello pneumatico più gonfio",
,3. si affatica l'albero di trasmissione,
4,Viaggiando con pneumatici dello stesso asse gonfiati a pressioni diverse:,
,"1. il veicolo ""tira"" dalla parte dello pneumatico più gonfio",
,2. si compromette la tenuta di strada del veicolo,x
,3. si affatica l'albero della trasmissione,
5,Viaggiando con pneumatici dello stesso asse gonfiati a pressioni diverse:,
,"1. il veicolo ""tira"" dalla parte dello pneumatico più gonfio",
,2. in curva aumenta il fenomeno dello slittamento,x
,3. è opportuno frenare più energicamente,
6,Gli pneumatici dei veicoli con battistrada eccessivamente usurato:,
,1. non condizionano la distanza di sicurezza,
,2. aumentano la probabilità di incidenti stradali,x
,3. influscono sulla stabilità del veicolo solo in curva,
7,Gli pneumatici dei veicoli con battistrada eccessivamente usurato:,
,1. influiscono negativamente sulla frenatura,x
,2. non aumentano la probabilità di incidenti stradali,
,3. influscono sulla stabilità del veicolo solo in curva,
8,Gli pneumatici dei veicoli con battistrada con intagli profondi meno di 1. 6 mm:,
,1. devono essere sostituiti,x
,2. non aumentano la probabilità di incidenti stradali,
,3. possono ancora essere utilizzati fino ad usura con intagli di almeno 0.6 mm di profondità,
9,La squilibratura dei freni può dipendere da:,
,1. ferodo consumato eccessivamente,x
,2. eccessivo gioco del pedale freno,
,3. eccessiva pressione sul pedale freno,
10,La squilibratura dei freni può dipendere da:,
,1. tamburi ovalizzati,x
,2. eccessivo gioco del pedale freno,
,3. eccessiva pressione sul pedale freno,
11,"Con freni squilibrati, può avvenire in frenata:",
,1. lo spostamento del carico all'indietro,
,2. uno sbandamento trasversale,x
,3. un consumo eccessivo del liquido del circuito frenante,
12,"Con freni squilibrati, può avvenire in frenata:",
,1. la rottura del servofreno,
,2. che sia compromessa la stabilità del veicolo,x
,3. un consumo eccessivo del liquido del circuito frenante,
13,"Una frenatura poco efficiente o squilibrata, può essere causata:",
,1. da carico erroneamente ripartito od eccessivo,x
,2. dal tipo di anticongelante usato,
,3. dall'insufficiente lubrificazione dei dischi,
14,"Una frenatura poco efficiente o squilibrata, può essere causata:",
,1. dalla rottura di una tubazione negli impianti a doppio circuito frenante,x
,2. dal tipo di anticongelante usato,
,3. dall'insufficiente lubrificazione dei dischi,
15,"Una frenatura poco efficiente o squilibrata, può essere causata:",
,1. dalla presenza d'aria nel circuito frenante idraulico,x
,2. dal tipo di anticongelante usato,
,3. dall'eccessivo livello dell'olio nella coppa del motore,
16,"Una frenatura poco efficiente o squilibrata, può essere causata:",
,1. dall'eccessivo riscaldamento delle guarnizioni frenanti,x
,2. dal tipo di anticongelante usato,
,3. dal consumo eccessivo dei denti del freno a mano,
17,"Se lo sterzo si presenta più duro del normale, può dipendere:",
,1. da sovraccarico dell'asse posteriore,
,2. dagli pneumatici anteriori sgonfi,x
,3. dagli pneumatici anteriori troppo gonfi,
18,"Se lo sterzo si presenta più duro del normale, può dipendere:",
,1. da sovraccarico dell'asse posteriore,
,2. da cattiva registrazione degli angoli caratteristici delle ruote,x
,3. dagli pneumatici anteriori troppo gonfi,
19,Se lo sterzo sfarfalla vibrando fortemente:,
,1. può dipendere dai giochi ai comandi dello sterzo,x
,2. può dipendere dalla marcia ingranata,
,3. può dipendere dalla convergenza delle ruote,
20,Se lo sterzo sfarfalla vibrando fortemente:,
,1. può dipendere dalle ruote direttrici non equilibrate,x
,2. può dipendere dalla marcia ingranata,
,3. può dipendere dalla convergenza delle ruote,
21,Per ridurre l'inquinamento dell'aria provocato dalla circolazione dei veicoli azionati da motore a scoppio l'automobilista deve:,
,1. curare la perfetta regolazione degli organi di accensione,x
,2. provvedere alla frequente revisione degli organi di sospensione,
,"3. ridurre il tempo di accensione del motore, marciando a velocità elevata nei limiti consentiti",
22,L'inquinamento atmosferico prodotto dai veicoli a motore può essere ridotto:,
,1. disponendo i bagagli ben fissati sul tetto dell'autovettura,
,2. limitando i consumi di carburante,x
,3. utilizzando costantemente il motore a regime massimo di rotazione,
23,Le frecce direzionali segnate sulla carreggiata:,
,1. possono essere integrate da iscrizioni sulla pavimentazione che indicano la località raggiungibile,x
,2. comprendono la freccia di destra per indicare l'approssimarsi di una corsia per la sosta di emergenza,
,3. sono di colore giallo alternato con il nero lungo i tratti dove è vietata la sosta,
24,Le strade extraurbane principali:,
,1. sono prive di intersezioni a raso,x
,2. consentono la circolazione con la stessa velocità massima prevista per le autostrade,
,3. consentono una velocità massima di 70 km/h,
25,Per adattarsi alle condizioni avverse del tempo e prevenire incidenti stradali occorre:,
,1. tenere i lampeggiatori di sinistra accesi per segnalare la propria presenza,
,2. accendere i proiettori fendinebbia solo di notte,
,"3. in caso di nebbia, pioggia, foschia o neve, usare gli anabbaglianti anche in pieno giorno",x
26,La corsia può essere:,
,1. di marcia,x
,2. a doppio senso di circolazione,
,3. pedonale,
27,Agli imbocchi o sbocchi delle gallerie stradali è opportuno:,
,1. frenare bruscamente,
,"2. non sorpassare, neanche nelle carreggiate a senso unico",
,"3. all'uscita, tenere il volante con particolare attenzione per fronteggiare colpi di vento laterale",x
28,In presenza di tratti di strada ghiacciati è opportuno:,
,1. aumentare di circa tre o quattro volte la distanza di sicurezza,x
,"2. non usare le catene, ma solo gomme chiodate almeno sulle ruote motrici",
,3. frenare rapidamente in caso di slittamento,
29,Allorchè ci accingiamo a scendere dall'autoveicolo dobbiamo tra l'altro:,
,"1. lasciare sempre accese, di notte, le luci di posizione",
,"2. verificare, nella sosta davanti ad passo carrabile, che rimanga spazio sufficiente per l'accesso",
,3. assicurarsi di aver parcheggiato correttamente,x
30,Su un'autostrada:,
,"1. si può dare passaggi agli autostoppisti, solo sulle rampe",
,2. è consentita la libera circolazione dei cani solo sulle aree di servizio,
,3. avvicinandosi alle porte delle stazioni i conducenti sono tenuti a mantenere la fila prescelta,x
31,La sosta di autoveicoli in doppia fila:,
,1. provoca un restringimento delle carreggiata,x
,2. è vietata solo quando crea intralcio alla circolazione,
,3. è consentita solo per pochi secondi,
32,I conducenti di veicoli a motore sono obbligati ad azionare la segnalazione luminosa di pericolo (lampeggio simultaneo di tutti gli indiocatori luminosi di direzione),
,1. quando si verificano improvvisi rallentamenti o incolonnamenti,x
,"2. di notte, in caso di sosta sulle corsie di emergenza delle autostrade",
,3. quando si sosta in seconda fila,
